Codigo,Descripcion,Familia,Stock
V01VAD73164-01,& ARNES CLASSIC NYLON ROJO T-XXS,NOBBY,13
V01VAD73250-05,CORREA NYLON RASTREO NEGRO 5 M.,NOBBY,2
V01VAD74700-42,** COLLAR CLASSIC NYLON MARE XXS,NOBBY,6
V01VAD78083,& PUNTERO LED CON RATON,NOBBY,280
V01VAD78501-06,*** COLLAR NYLON MINI 10x20 AZUL,NOBBY,9
V01VAD78512-34,COLLAR SUAVE TURQUESA T-M-L,NOBBY,6
V01VAD79100-42,CORREA NYLON MULTIPOSICION MAREN,NOBBY,12
V01VAD79259-05,& RAMAL AHOGO REDONDO NYL 13 NEG,NOBBY,1
V01VAD80623-32,ARNES MESH REFLEC. CELESTE  XXS,NOBBY,19
V01VAD80702-05,COLLAR NYLON CORDA T-M NEGRO/GRI,NOBBY,2
V01VAD88753-04,ARNES MESH NEGRO/NARANJA T-S,NOBBY,4
V02251363,"BLOQUE TORTUGA PEQ "" CAL"" 12 uds",PECES,21
V02274112612,PLAQUEOFF POLVO PERRO Y GATO 40G,PROYMA FARMACIA,12
V02729339-TIENDA,SNACKS EASY BARRITAS POLLO,DAPAC PREMIUM SNACK,0
V02745132,SHAMBI HENO MONTA¥A 1KG.(5),ROEDOR,244
V02ANK1045,PORTA COMEDERO REGUL+COME 25C,ARTICULOS VP,4
V02DNK03504,SHAMBI MENU EXTRA CONEJO 3KG.,DAPAC PREMIUM SHAMBI,55
V02FN13-TIENDA,FRESH MUSLITOS DE POLLO 1 uni,DAPAC PREMIUM SNACK,0
V02FN13B,"FRESH MUSLOS DE POLLO 2,5 KG.",DAPAC PREMIUM SNACK,18
V02FR32,RAW ESOFAGO BUFALO 250 G,DAPAC PREMIUM SNACK,13
V02FR42,RAW PATAS DE POLLO 600 GR.,DAPAC PREMIUM SNACK,11
V02FR50,FRESH RAW OREJA DE RES S/PELO,DAPAC PREMIUM SNACK,14
V02FR57,ENC. RAW PATA POLLO 900 Udes.,DAPAC PREMIUM SNACK,1
V02KMCT19065,KM CA¥A DE PESCAR + PEZ TRICOLOR,JUGUETES DAPAC,14
V02PET0062,PET SANA COLONIA FRESA 125 ML.,PELUQUERIA Y LIMPIEZA,27
V02PETS360,"PS RODILLO QUITAPELO 10,5x21,5",ARTICULOS VP,17
V02RECE45,DAPAC SACO RECEBO SUPER 45 LT.,JARDINERIA - SEMILLAS,6
V02S01110100,RUEDAS TWINBE SKUD (MOD.4-5-6-7),ARTICULOS VP,4
V02STSI005,HUEVOS PLASTICO  100 UNI BOLSA),ARTICULOS VP,700
V02WN135,BOMBA SUMERGIBLE Q-1500 L/H,PECES,1
V02WN136,BOMBA SUMERGIBLE Q-2000 L/H,PECES,3
/36,CARGO,,0
/44,ABONO,,0
/52,ABONO,,0
/7,,,0
/71,,,0
070FP15,ENCAR.  PAVO MUSCLEBUILD 3 KG.,ALIMENTO - CABALLOS,1
0930002,PAQUETE PAJA 26 kg (Aproxi),ALIMENTO - CABALLOS,248
120DOG080012,DOG SUM SUM CACHORRO PREMIUM 12K,DAPAC PREMIUM SUMUM,77
120DOG65AP,DOG SUMMUM LIGHT-MATURE 18,DAPAC SUMMUN,155
12140000,CARTOLA ZEN GRAIN FREE,,8
121DAT20PG1A-TIE,ZEN POUCHES POLLO 100 GR.,DAPAC SUPER PREMIUM ZEN,6
121Z6149-TIENDA,ZEN PATE CORDER&VEGETALES 400 GR,DAPAC SUPER PREMIUM ZEN,-5
121Z6523,ZEN PATE ATUN&BACALAO 400 Gr(12),DAPAC SUPER PREMIUM ZEN,106
122DAC53KT03,"LOW ZEN CAT KITTEN 3 KG.(25,90)",DAPAC SUPER PREMIUM LOW CAT,22
122DAJ08LA2B,"LOW ZEN ADUL CORDERO 2,5 K (20,9",DAPAC SUPER PREMIUM LOW ZEN,27
122M-J03,MUESTRA ZEN LOW MED ADU 200gr.,DAPAC SUPER PREMIUM LOW ZEN,41
12912131015,GOURM GOLD DOBLE PLACER 85 (24),NESTLE,15
12912480066,FELIX FANTASTIC JUNIOR 4*85 (12,NESTLE,8
12912533100,GOURMET DELICIAS POLLO 85 (24),NESTLE,7
91006,ABONO COMPLEJO 25 K 15-15-15,JARDINERIA - SEMILLAS,0
A196222530009,ARNES NYLON TRIPLE GALGO NEGRO,ARPPE,2
A2620015501,*** IMPERMEABLE ROJO 55 CM.,ARPPE,4
AG10000182,AGV DAPAC PERDICES 2¦ EDAD 25KG,AGROVECO,-3
AG10200296,AGV VACAS NODRIZAS 25 KG.,AGROVECO,17
DOG0214,COLCHON MULLIDO PANA HUESO 70 CM,PERIS TEXTIL,14
DOG0316,COLCHON COMPACTO AZUL 120 CM.,PERIS TEXTIL,11
FOP65014600,*** COLLAR X-TREME T-XXL 59/70x3,ACCESORIOS DAPAC,1
FOP65014800,*** CORREA X-TREME ASA ACOL.110,ACCESORIOS DAPAC,5
M47008104,CANINE GASTROINTESTINAL 2KG(i/d),MONGE,12
M47008117,CANINE HEPATIC 2KG(l/d),MONGE,1
MC01000330, PETRAL NYLON TEJANO AZUL T-M,ARTICULOS VP,1
P1165540000, PERTIGA 120/240 CM. GENERICO,TAMAR PISCINAS,1
P1175640000,TAMAR RECAMBIO TEST KIT GOTAS,TAMAR PISCINAS,3
PABA853,LLAVE ESFERA 3/4,CABALLOS ACCESORIOS,4
PR15CAMF150,CARBON PARA MAGIC FILTER 150,PECES,9
PR15DF047,CARTUCHO CARBON FILTRO DF400,PECES,5
PR15MFXTB,LAMPARA QUARZO UV PARA MFX 1 y 2,PECES,4
PR15SPMF100,RECAMBIO ESPONJA MAGIC FILTE 100,PECES,0
PRAW100,ALGAE WAFERS 50 GR.(peces fondo),PECES,36
PRSNAIL30,SNAIL STOP 30 ML.(anti caracoles,PECES,12
PRTAR1200,TARTAFOOD GAMMARUS 120G/1200ML,PECES,0
REP17165,PALA PUNTA PU¥O ANILLA 25x51 CM.,JARDINERIA - SEMILLAS,2
S020504G250,JUDIA BUENOS AIRES ROJ.CONDO 250,JARDINERIA - SEMILLAS,1
S090504,ALELI EXCELSIOR VARIADO,JARDINERIA - SEMILLAS,6
S651701,CEBOLLA AMARILLA DE PARMA ECO BO,JARDINERIA - SEMILLAS,3
S720910,HORMONAS ENRAIZANTES 50 ML,JARDINERIA - SEMILLAS,2
S730052,FUNGICIDA SISTEMICO SOBRE 15 gr,JARDINERIA - SEMILLAS,5
SA20310000,& COMEDERO PLASTICO DELICE 0.3L,,9
V011802NE2XL,ABRIGO NEOPRENO NEG/RO T-2XL 51C,ARTICULOS VP,1
V01VAD25567,*** TUNEL DE MADERA 9x30,NOBBY,9
V01VAD31585,"BA¥ERA EXTERIOR PLASTI 13x12,5x",NOBBY,73
V01VAD67735,*** JERSEY LANA AZUL IMPERM 20,NOBBY,1
V01VAD73161-06,*** CORREA CLASS NYLON AZUL M-L,NOBBY,4
V01VAD73164-64,ARNES CLASSIC NYLON FRAMB T-XXS,NOBBY,5
V01VAD73164-82, ARNES CLASSIC NYLON GRI T-XXS,NOBBY,2
V01VAD73165-40,*** ARNES CLASS NYLON MENTA XS-S,NOBBY,3
V01VAD73631,"*** COMEDERO CERAMIC ROEDOR 14,5",NOBBY,6
V01VAD74704-01,& COLLAR CLASSIC NYLON RO T-L-XL,NOBBY,4
V01VAD75356,& RECAMBIO SLIP T-M/T-L 10 Udes.,NOBBY,24
V01VAD75746,BOTA NEOPRENO T-M (2 unidades),NOBBY,29
V01VAD77014,COLLAR LED  GATO 7 MM - 35 CM.,NOBBY,5
V01VAD78510-05,COLLAR SUAVE AGARRE NEG T-XS-S,NOBBY,20
V01VAD78515-01,& CORREA SUAVE AGARRE ROJO T-M-L,NOBBY,31
V01VAD78515-77,*** CORREA SUAVE AGARRE FUC M-L,NOBBY,3
V01VAD78522-34,ARNES SUAVE AGARRE TURQUE T-L-XL,NOBBY,3
V01VAD80287,*** JUGUETE GATO CORCHO,NOBBY,1
V01VAD80522-01,COLLAR NEOPRENO CLASSIC S-M ROJO,NOBBY,23
V01VAD80526-06,CORREA NEOPRENO AZUL M-L,NOBBY,27
V01VAD80526-38,CORREA NEOPRENO PURPURA M-L,NOBBY,15
V01VAD80532-01,ARNES NEOPRENO CLASSIC M-L ROJO,NOBBY,19
V01VAD80532-32,ARNES NEOPRENO CLASSIC M-L CELES,NOBBY,15
V01VAD80533-32,ARNES NEOPRENO CLASSIC T-L CELES,NOBBY,16
V01VAD80623-24,ARNES MESH REFLEC. AMARILLO XXS,NOBBY,14
V01VAD80627-32,*** ARNES MESH REFLEC. CELES -L,NOBBY,2
V021585,EXPOSITOR RAW 110 CM,DAPAC PREMIUM SNACK,1
V02251400-TIENDA,CALES FIN DE SEMANA  1 Unidad,PECES,7
V02252612-TIENDA,"ONE BOCADITOS BUEY LATA 1,23 1 u",DAPAC HUMEDO LATAS-SALCHICHA,22
V02252629-TIENDA,"ONE BOCADITOS POLLO LATA 1,23 1u",DAPAC HUMEDO LATAS-SALCHICHA,6
V024585,DAPAC STICKS CANARIO JALEA REAL,DAPAC PREMIUM SHAMBI,114
V027003023-TIEND,SNAC ANC FRESH BUEY 70 BOLSITA,DAPAC PREMIUM SNACK,0
V027003027-TIEND,SNAC ANC FRE CORDER 70G BOLSITA,DAPAC PREMIUM SNACK,6
V02726024,BOLSITAS POO RECICLA. 4*20 ROSA,ARTICULOS VP,358
V02AC3AFR06SL,FRESH ACEITE DE SALMON 500 ML.,DAPAC PREMIUM SNACK,32
V02ANK1006,COMEDERO INOX.ANTIDE. SILICO 25C,ARTICULOS VP,41
V02CAL0194,BEBEDERO ROEDOR 1100 (6-EXP),ROEDOR,19
V02D744999,SHAMBI CANARIOS C/AVENA 20 K,DAPAC PREMIUM SHAMBI,28
/45,ABONO,,0
/54,ABONO,,0
0708603,PAVO BASIC 20 KG.,ALIMENTO - CABALLOS,16
0930013,CALEYA HENO PRADERA monta¤a 80L,ALIMENTO - CABALLOS,211
12164SP02,"ZEN CAT SALMON & POTATO 2K""17,99",DAPAC SUPER PREMIUM ZEN,22
122723825,EXPOSITOR ZEN LOW GRAIN (MADERA),DAPAC SUPER PREMIUM LOW ZEN,-1
122DAC56ST03,"LOW ZEN CAT STERILI 3 KG.(25,90)",DAPAC SUPER PREMIUM LOW CAT,6
122DAK73NS2B,"LOW ZEN MINI ADU SALMON 2,5""19,9",DAPAC SUPER PREMIUM LOW ZEN,32
122M-J07,MUESTRA ZEN LOW MED SENSI 200gr.,DAPAC SUPER PREMIUM LOW ZEN,46
1231667,FICHA TECNICA FRESH CAT TAPIOCA,,50
12912131625,GOURM GOLD MOUSS PES OCE 85 (24),NESTLE,22
12912348454,GOURM GOLD FONDANT POLLO 85 (24),NESTLE,18
A1810010509,BOZAL CESTA PLASTI.N§ .5 NEGRO,ARPPE,7
A196222530001,ARNES NYLON TRIPLE GALGO ROJO,ARPPE,0
A2273034017,EMPU¥ADURA NYLON ROJO 45x16,ARPPE,2
AG10100006,AGV DAPAC CERDOS ENGOD/Crto 25KG,AGROVECO,0
AG40500009,AGV PULPA DE REMOLACHA 25K,AGROVECO,32
DOG0284,CAMA PINCEL NEGRO 55 CM.,PERIS TEXTIL,10
DOG0300,COLCHON COMPACTO PINCEL MARRO 80,PERIS TEXTIL,10
DOG0301,COLCHON COMPACTO PINCEL MARR 100,PERIS TEXTIL,6
MC08600330, PETRAL NYLON LEOPARDO 1 T-M,ARTICULOS VP,1
P1285245060,INCREMEN ALCALINIDAD GRANO 6 KG.,TAMAR PISCINAS,4
PABA852,LLAVE ESFERA 1/2,CABALLOS ACCESORIOS,5
PRBS100,BIOGRAN SMALL 45 GR.(agua dulce,PECES,22
PRMGC3,MAGIC GLASS CLEANER LARGE(iman f,PECES,7
PRNFLORA500, NUTRONFLORA 500 ML.abono liquid,PECES,13
PRSP10FA,ESPONJA FILTRANTE FINA 10x10X10,PECES,23
PRTARP1200,TARTAFOOD TORTUGAS 350GR/1200ML,PECES,13
PRTROP1200,TROPICAL FISH FLAKES 200 GR.,PECES,26
RA3502008,"ENLACE R/M 16x3/4"" MARRON 5-UNID",JARDINERIA - SEMILLAS,3
REP10836,PULVERIZADOR 5 LT.(1.3 gal),JARDINERIA - SEMILLAS,2
REP4759207,"NYLON TRENZADO PRO 2,7 MMx27 M.",JARDINERIA - SEMILLAS,1
S020320,HABA ALBINA TIPO BABY,JARDINERIA - SEMILLAS,3
S095401,MARGARITA GIGANTE BLANCA,JARDINERIA - SEMILLAS,5
S710580,FERTILIZANTE BONSAIS(sobre 1 L),JARDINERIA - SEMILLAS,3
SA01970000,BOLA HAMSTER MINI 12 CM.,,0
SA02610073,& BANDEJA IRIZ AZUL PIEDRA 42cm.,,16
SA02780000,& PALETA GATO MICRO peque¤a,,14
SA03430000, COMEDERO ENIGMA 1 T-L,,0
TX67490,SUDADERA BE NORDIC GRIS T-XXS,ARTICULOS VP,1
TX67493,SUDADERA BE NORDIC GRIS T-S 44CM,ARTICULOS VP,1
V011802NE4XL+,ABRIGO NEOPRENO NEG/RO T-4XL+71C,ARTICULOS VP,11
V011802R4XL+,ABRIGO NEOPRENO ROJ/NE T-4XL+71C,ARTICULOS VP,5
V01VAD31517,JUGUETE ESPEJO PERICO MADERA 10x,NOBBY,12
V01VAD73005,COLLAR CADENA LIMADA 45 cm. 2 mm,NOBBY,0
V01VAD73166-05,*** ARNES CLASSIC NYLON NEGR S-M,NOBBY,12
V01VAD75351,& SLIP ECONOMICO N§4 T-XL,NOBBY,27
V01VAD78508-77,*** CORREA SUAVE AGARRE FUCS XS,NOBBY,1
V01VAD78509-01,& COLLAR SUAVE AGARRE ROJO T-XXS,NOBBY,10
V01VAD78516-34,CORREA SUAVE AGARRE TURQU T-L-XL,NOBBY,19
V01VAD78518-05,CORREA SUAVE AGARRE MULTIP NEGRO,NOBBY,42
V01VAD78522-06,ARNES SUAVE AGARRE AZUL T-L-XL,NOBBY,15
V01VAD79277,BOZAL CORRECTOR T-2  EASY LEADER,NOBBY,33
V01VAD79280,BOZAL CORRECTOR T-5  EASY LEADER,NOBBY,15
V01VAD79424-TIEN,JUGUETE ANIMALES SURTID. 1 udes,NOBBY,6
V01VAD80526-32,CORREA NEOPRENO CELESTE M-L,NOBBY,12
V01VAD80626-01,ARNES MESH REFLEC. ROJO T-M,NOBBY,15
V01VAD80664-32,*** ARNES NEOPRENO MINI CELESTE,NOBBY,12
V01VAD80703-01,COLLAR NYLON CORDA T-M/L ROJ/GRI,NOBBY,2
V02251400,CALES FIN DE SEMANA (12 unidade),PECES,13
V024591,DAPAC STICKS AGAPORNI JALEA REAL,DAPAC PREMIUM SHAMBI,50
V027003022,DISPLAY SNACKS ANC SALMON70g,DAPAC PREMIUM SNACK,28
V027003023,DISPLAY SNAC ANC FRESH BUEY 70,DAPAC PREMIUM SNACK,37
V02723849,PACK 18 ROLLOS POO AZULES Y BLAN,ARTICULOS VP,55
V02729346,DISPLAY EASY BARRITAS PESCADO,DAPAC PREMIUM SNACK,27
V02ANK1005,COMEDERO INOX.ANTIDE. SILICO 22C,ARTICULOS VP,17
V02DMDT1903,DM CACTUS DE TELA 22x17x5 CM.,JUGUETES DAPAC,20
V02DMDT2087,DM JIRAFA TIRADOR DOBLE NUDO,JUGUETES DAPAC,20
V02DMJY61110,DM HUESO TRIPLE NUDO NJA 30,JUGUETES DAPAC,9
V02DMJY64162,DM ESTRELLA AZUL CUERDA TRENZADA,JUGUETES DAPAC,40
V02DMJY65143-2,DM 2 LAZOS BORDADOS 23 CM.,JUGUETES DAPAC,31
V02DMPEL24044,EXPOSITOR PELOTAS SQUARED ACID 6,ARTICULOS VP,8
V02FC25379,FRESH COOKIE GOOD NITE 300 GR.,DAPAC PREMIUM SNACK,37
V02FC26383,FRESH COOKIE MINI BONES 300 GR.,DAPAC PREMIUM SNACK,39
V02FD07-TIENDA,DENTALS MEATY STICKS MIX (1-UNI),DAPAC PREMIUM SNACK,13
V02FN02,EXP. FRESH TIRAS POLLO 100 G 10u,DAPAC PREMIUM SNACK,25
V02FN09,PALILLO 50 Udes. MUNCHIS FLAT,DAPAC PREMIUM SNACK,1
V02FN20,ROLLITOS DE POLLO 1 unidad,DAPAC PREMIUM SNACK,-1
V02FN36,FRESH CORAZON DE PATO 16 Uds,DAPAC PREMIUM SNACK,0
V02FR28,RAW OREJA BUFALO 5 uni (300 GR.,DAPAC PREMIUM SNACK,8
V02J114,JAULA HAMSTER 114 30x23x21(10,ROEDOR,0
V02NYPE50914, CHUBASQUERO REFLECT MARI 50C,ARTICULOS VP,1
V02PEPT000501,   BEDDING VIRUTA DAPAC GRAN 10L,ARTICULOS VP,2
V02PET0101,PET SANA REPELENTE ANTIMICC.500M,PELUQUERIA Y LIMPIEZA,35
/26,CARGO,,0
/34,CARGO,,0
/42,ABONO,,0
/64,,,0
0601100-25,NANTACOR INICIACION 25 KG.,PIENSOS GANADERIA,0
0812620325,enc CAMPERBROILER GRANULA 25 KG.,PIENSOS GANADERIA,0
09300000,"PAQUETE ALFALFA 20,300kg aprox",ALIMENTO - CABALLOS,1
121M-L04,MUESTRA ZEN FISH 200gr.,DAPAC SUPER PREMIUM LOW ZEN,38
121Z6150-TIENDA,ZEN PATE ATUN&POLLO 400 GR.,DAPAC SUPER PREMIUM ZEN,0
12240CC20,DAPAC SUPERPREM LAMB&RICE 20 KG,DAPAC BREEDERS SUPER PREMIUM,7
122DAL80SE12,"LOW ZEN ADUL SENIOR 12 KG ""53,90",DAPAC SUPER PREMIUM LOW ZEN,16
12386630,VASOS MEDIDORES ANC FRESH,,15
12912126337,GOURM GOLD BOCADI POL&HIG 85(24),NESTLE,19
12912131050-TIEN,GOURM GOLD MOUSSE BUEY 85g (1),NESTLE,8
12912131051,GOURM GOLD MOUSSE POLLO 85g (24),NESTLE,18
12912138619-TIEN,GOURM GOLD MOUSS PAT/ESP 85G (1),NESTLE,4
12912296422,GOURM GOLD TARTE POL-ZANA 85(24),NESTLE,19
12912480172,--- FELIX FANTAS CARNE 4*85 (12,NESTLE,0
A2620014507, IMPERMEABLE AZUL 45 CM.,ARPPE,3
AG10000190,AGV DAPAC POLLITOS INICIACI 10K,AGROVECO,21
AG10400087,AGV DAPAC CONEJOS 10 KG,AGROVECO,5
AG40000134,AGV SACO TRIGO 25 KG.,AGROVECO,148
DOG0294,COLCHON COMPACTO GRANATE 80x60CM,PERIS TEXTIL,22
DOG0296,COLCHON COMPACTO PINCEL AZUL 80,PERIS TEXTIL,11
FOP55520070,& TORTUGUERA CHIOS 42x34x22,ACCESORIOS DAPAC,6
FOP55530070,"& TORTUGUERA NAXOS 32,5x18,5x18",ACCESORIOS DAPAC,7
FOP65008701,***ARNES EKIP T-M (X-TREME),ACCESORIOS DAPAC,5
FOP65014900,"*** CORREA X-TRE ASA ACO 110x2,5",ACCESORIOS DAPAC,3
M47001450,enc CANINE DERMATOSIS 150 GR z/d,MONGE,0
M47001453,CANINE RECOVERY 150 GR (a/d),MONGE,1
M47008101,CANINE DERMATOSIS 12KG(derm) z/d,MONGE,4
M47008123,CANINE OBESITY 2KG(metabolic),MONGE,10
M47008203,CANINE HYPOALER.ATUN 400 GR.(12,MONGE,5
P1105020010,RECUPERADOR GENERICO 1 KG.,TAMAR PISCINAS,22
PA414,AISLADOR Z-17 FINAL CIERRE,CABALLOS ACCESORIOS,25
PA504,EMPU¥ADURA PUERTA NEGRA,CABALLOS ACCESORIOS,0
PR15SPRMF100,SPRAY-BAR MAGIC FILTER 100(pulve,PECES,25
PRBLMA250,enc BIOGRAN MARINO 100 GR-marino,PECES,0
PRCRY500,CRYSTALCIL 500 GR.(Cilindros vid,PECES,17
PRFIS1200,CUBO PONDSTICK ESTANQUE STIC 1.2,PECES,10
PRFIS7.5KG,"PONDSTICKS ESTANQUE STICK 7,5 Kg",PECES,-1
PRGF100,GOLDFISH FLAKES 12 GR.(agua fria,PECES,37
PRGP250,GOLDFISH PREMIUM 50 GR.(agua fri,PECES,17
PRMM100,"MUTAPHI""M"" 100 ML PH+aumentador",PECES,6
PRSACPR25,BOLSA TRANSP. PECES Grand-10 uni,PECES,544
PRTARVEG1200,enc.TARVEGETAL 250 GR./ 1200 ML.,PECES,0
PRTNH3.2,PRODACTEST NH3/NH4,PECES,8
RA3502006,ESTACA 16/17 MARRON (10 Udes),JARDINERIA - SEMILLAS,13
REP17880,RASTRILLO RECTO 16 Dientes c/man,JARDINERIA - SEMILLAS,3
REP347226,PERTIGA TELESCOPICA 2x240 CM.,JARDINERIA - SEMILLAS,2
S014707,PIMIENTO PADRON,JARDINERIA - SEMILLAS,4
S020569,JUDIA ROMA SELC.PERONA,JARDINERIA - SEMILLAS,5
S051311K1,FT CESPED COMPACTO GRAN RESIS 1K,JARDINERIA - SEMILLAS,0
SA20120000,ALFOMBRILLA NESTOR CASETA ASE,,12
V011802R4XL,ABRIGO NEOPRENO ROJ/NE T-4XL 66C,ARTICULOS VP,1
V01VAD25565,*** TUNEL DE MADERA 5x15,NOBBY,7
V01VAD60466,JUGUETE DENTAL PELOTA RUGBY 11 C,NOBBY,74
V01VAD67477,*** COLLAR PROTECTOR INFLAB T-L,NOBBY,6
V01VAD69913,GALLETAS ENTRENAMIENTO 10 KG.,NOBBY,5
V01VAD73009,COLLAR CADENA LIMADA 55 cm. 3 mm,NOBBY,9
V01VAD73165-32,*** ARNES CLASS NYLON CELE XS/S,NOBBY,4
V01VAD73252-01,CORREA NYLON RASTREO ROJO 10 M.,NOBBY,9
V01VAD74701-63,*** COLLAR CLASS NYLO CORAL XS-S,NOBBY,5
V01VAD74702-05,*** COLLAR CLASSI NYLON NEG S-M,NOBBY,11
V01VAD74882, CEPILLO DE DIENTES 4 piezas,NOBBY,2
V01VAD78508-05,& CORREA SUAVE AGARRE NEGRO T-XS,NOBBY,17
V01VAD78508-34,CORREA SUAVE AGARRE TURQUES T-XS,NOBBY,6
V01VAD78509-34,COLLAR SUAVE AGARRE TURQ T-XS,NOBBY,4
V01VAD78512-06,COLLAR SUAVE AZUL T-M-L,NOBBY,12
V01VAD78514-01,CORREA SUAVE AGARRE ROJO T-S,NOBBY,14
V01VAD78515-06,CORREA SUAVE AGARRE AZUL T-M-L,NOBBY,15
V01VAD78516-06,CORREA SUAVE AGARRE AZUL T-L-XL,NOBBY,17
V01VAD78518-06,CORREA SUAVE AGARRE MULTIP AZUL,NOBBY,53
V01VAD78521-05,ARNES SUAVE AGARRE NEGRO T-M-L,NOBBY,13
V01VAD78572-05,ACOPLE NYLON 2 PERROS NEGRO 45 C,NOBBY,8
V01VAD79258-06,RAMAL AHOGO REDON NYLON AZUL 9MM,NOBBY,8
V01VAD79278,BOZAL CORRECTOR T-3 EASY LEADER,NOBBY,20
V01VAD79283,& BOZAL NYLON REGULABLE T-2 L,NOBBY,80
V01VAD80521-23,*** COLLAR NEOPRENO XS-S MAR,NOBBY,3
V01VAD80521-64,COLLAR NEOPRENO CLASSIC XS-S FRA,NOBBY,6
V01VAD80522-06,COLLAR NEOPRENO CLASSIC S-M AZUL,NOBBY,11
V01VAD80524-04,COLLAR NEOPRENO CLASSIC L-XL NAR,NOBBY,8
V01VAD80623-04,ARNES MESH REFLEC. NARANJA XXS,NOBBY,11
V01VAD80627-06,ARNES MESH REFLEC. AZUL T-L,NOBBY,3
V01VAD80704-05,COLLAR NYLON CORDA T-L NEGRO/GR,NOBBY,4
V02254159,EMUFLOR SUBSTRATO UNIVERSAL 20 L,JARDINERIA - SEMILLAS,183
V024583,DAPAC STICKS CANARIO FRUTA 60G,DAPAC PREMIUM SHAMBI,124
/12,,,0
/48,ABONO,,0
/53,ABONO,,0
/6,,,0
/8,,,0
/92,,,-1
080220,CONCHILLA 5 KG.,PIENSOS GANADERIA,13
0930014,CALEYA ALFALFA  80l. 14 KG +/-,ALIMENTO - CABALLOS,214
12119075,DOSSIER ZEN,,50
121DAK98CJ2B,"ZEN DOG RABBIT LIGHT 2,5 (21,90",DAPAC SUPER PREMIUM ZEN,17
12250CC20,DAPAC SUPERPREM ADUL MEDIUM 20KG,DAPAC BREEDERS SUPER PREMIUM,60
122DAJ07AS12,"LOW ZEN ADUL SALMON 12 KG""59,90""",DAPAC SUPER PREMIUM LOW ZEN,65
123DAC51GA02C,"FRESH CAT ADUL MEDITER 2 K""11,90",DAPAC PREMIUM FRESH,32
123DAD74CS04,FRESH CAT GRAN FREE TAPIOCA 4 KG,DAPAC PREMIUM FRESH,25
123DAL32AM08C,"FRESH MINI MEDITERRA 8 K""26,90""",DAPAC PREMIUM FRESH,53
12912132612-TIEN,GOURM GOLD BOCAD SAL/POL 85 (1),NESTLE,0
9716,PALET NANTA PINTO,PALETS,16
A196202560009,ARNES NYLON TRIPLE NEGRO T-L,ARPPE,0
A2252019993,*** CORREA NYLON REDON NEGR 10x9,ARPPE,8
A2258031117,CORREA NYLON REDONDO 16x110 ROJO,ARPPE,8
AG10500014,AGV EQUUS LINE OPTIMA 25KG cabal,AGROVECO,168
AG50200008,LECHE EXCELLOR MULTI 10 KG.,AGROVECO,9
DOG0282,CAMA PINCEL BEIGE 70 CM.,PERIS TEXTIL,6
FOP10680010,"JAULA PAJARO SARA 4 udes-35,5x21",ACCESORIOS DAPAC,0
FOP25910070,"& COMEDERO ENJOY N§.1 0,25 L",ACCESORIOS DAPAC,28
HENO04,SHAMBI HENO DIENTE LEON 500+200G,ROEDOR,140
M47008127,Enc. CANINE DIABETIC 2 KG (w/d),MONGE,0
M47008205,CANINE HYPOALER.CORDERO 400 G(12,MONGE,4
P1155590000,TAMAR RECOGEDOR HOJAS SUPERFICIE,TAMAR PISCINAS,8
PRGP1200,GOLDFISH PREMIUM 200 GR,PECES,24
PRSACR,RED MATERIAL FILTRANTE (50 Udes),PECES,2
PRTUB100,ENC TUBIFEX 10 GR.(agua dulce),PECES,0
REP11724,"CINTA MONTAJE 19MMx1,5 M.",JARDINERIA - SEMILLAS,3
REP346393,RATONERA SWISS GRANDE,JARDINERIA - SEMILLAS,2
REP364405,MALLA ANTIPAJAROS 15x15 4x12 M.,JARDINERIA - SEMILLAS,1
S012305,COLIFLOR BRIO SEL.URGELDA sep-oc,JARDINERIA - SEMILLAS,4
S667301, ALBAHACA GENOVESA HOJA GRANDE,JARDINERIA - SEMILLAS,3
S710502,FERTILIZANTE UNIVER(sobre para5L,JARDINERIA - SEMILLAS,6
S710741,FERTILIZANTE ANTI MUSGO CAJA 1KG,JARDINERIA - SEMILLAS,5
SA022700WZ,& CASETA ASEO NESTOR BLANC-NEGRO,,19
SA33500000,BOLSA ASEO MEDIUM 12 unid(42x32),,14
TX680502,CAPA PARIS ROSA T-S 33 CM.,ARTICULOS VP,1
V00PS06028-1,PELOTA VAINILLA 8 CM.,JUGUETES DAPAC,9
V01VAD25302,*** NORIA DE ROEDORES 15C,NOBBY,1
V01VAD50167,*** CORTAU¥AS PEQUE¥O,NOBBY,13
V01VAD50168,*** CORTAU¥AS GRANDE,NOBBY,16
V01VAD67476,*** COLLAR PROTECTOR INFLAB T-M,NOBBY,9
V01VAD69058,*** JUGUETE LATEX CERDITO SON 20,NOBBY,5
V01VAD73160-63,*** CORREA CLASS NYLON CORAL XS,NOBBY,1
V01VAD73164-42, ARNES CLASSIC NYLON MAREN XXS,NOBBY,1
V01VAD73166-06,*** ARNES CLASS NYLON AZUL S-M,NOBBY,10
V01VAD73167-05,& ARNES CLASSIC NYLON NEGR T-M-L,NOBBY,23
V01VAD73168-05,& ARNES CLASSIC NYLON NEG T-L-XL,NOBBY,18
V01VAD73168-32,*** ARNES CLASS NYLON CELES L/XL,NOBBY,5
V01VAD73760,*** COMEDERO GATO CERAM BLANCO,NOBBY,3
V01VAD78027-15,& ARNES+CORREA GATO KITTY ROSA,NOBBY,6
